id,geom,n,smiles,refcodes
SP21,SP,2,C(C[NH2:1])C[NH2:1],AHEHEA;AHEHEA;CARSAP;CARSAP;CARSAP01;CARSAP01;CARSET;CARSET;CARSET01;CARSET01;CARSIX;CARSIX;CARSIX01;CARSIX01;FEYXOW;FEYXOW;FUYBIK;FUYBIK;NOVBEF;PNPTCC;PNPTCC
SP22,SP,4,CN1C=C[N+](CN2C=C[N+](CN3C=C[N+](CN4C=C[N+](C)=[C-:1]4)=[C-:1]3)=[C-:1]2)=[C-:1]1,AJABEU
SP23,SP,4,CN1C=C[N+](CN2C=C[N+](CCCN3C=C[N+](CN4C=C[N+](C)=[C-:1]4)=[C-:1]3)=[C-:1]2)=[C-:1]1,AJABOE
SP24,SP,2,CC(C(C)(C)[NH2:1])=[N:1]O,AMBOXP
SP25,SP,2,CC(C(C)(C)[NH2:1])=[N:1][O-],AMBOXP
SP26,SP,2,c1cc[n:1]c(C[NH2:1])c1,AMPTCM;AMPTCM;HOHNEA;HOHNEA;ONUQAQ;ONUQAQ;XINBEE;XINBEE
SP27,SP,2,Cc1c(C)n2c(C)c(C)c(=[O:1])n2c1=[O:1],AQOPED02
SP28,SP,3,c1cc[n:1]c(-c2cccc(-c3cccc[n:1]3)[n:1]2)c1,ARUREK;ARURIO;AWOMIJ;CILVEY;CILVUO;CUCKUH;DINFAJ;EBEGAU;EZAZOV;KAGQUF;LAVWUA;LIKSIJ;LIKTAC;NEVTAK;NEVTEO;NIKHIY;NUZMIF;NUZMOL;NUZMUR;OGELOB;PIVSET;UMUBEK;WIHJIH;WIRJAI;WUDGIL;XUCXAW;XUCXEA;ZIDJIH
SP29,SP,2,C[Se:1]CC[P:1](c1ccccc1)c1ccccc1,ASADUU;ASAFAC
SP30,SP,2,c1ccc([Se:1]CC[P:1](c2ccccc2)c2ccccc2)cc1,ASAFAC;ASAGEH
SP31,SP,2,C[S:1]CC[P:1](c1ccccc1)c1ccccc1,ASAGEH;GIGSOF;HEZLOP;NIPKUU;POVMAP;POVMIX
SP32,SP,3,COc1ccc(-c2c3c([n:1]c4c2CCc2ccc[n:1]c2-4)-c2c(ccc[n:1]2)CC3)cc1,AVOSUZ
SP33,SP,2,c1cc[n:1]c(-c2nc3cc4ccccc4cc3nc2-c2cccc[n:1]2)c1,AYAMIW
SP34,SP,3,C(c1ccccc1[P:1](c1ccccc1)c1ccccc1)=[N:1]c1ccccc1[P:1](c1ccccc1)c1ccccc1,AYENEX
SP35,SP,2,c1ccc([P:1](CC[S:1]C23CC4CC(CC(C4)C2)C3)c2ccccc2)cc1,AZEWOS;AZEWOS
SP36,SP,2,Cc1ccc([S:1]CC[P:1](c2ccccc2)c2ccccc2)c(C)c1,AZEWUY;AZEWUY
SP37,SP,2,Fc1cc(F)c(F)c([S:1]CC[P:1](c2ccccc2)c2ccccc2)c1F,AZEXEJ;AZEXEJ;LIJCEO
